Timestamp,Grade,Age,Gender,Are you the first person in your family to attend college?,Which department/state are you from?,Which district are you from?,What area do you live in?,Library,"How many times a week do you go there? 
Leave empty, if zero.",Lab 1 - 6,"How many times a week do you go there? 
Leave empty, if zero.",Maker Lab,"How many times a week do you go there? 
Leave empty, if zero.",Virtual Reality Lab,"How many times a week do you go there? 
Leave empty, if zero.",Panda,"How many times a week do you go there? 
Leave empty, if zero.",Library,Career Center,Internet Services,Labs,Administrative department,How many activities have you participated in?,Do you code?,Have you participated in any programming groups?,"Choose the (markup, programming, query) languages you know well","Overall, how satisfied are you with your academic program?",How satisfied are you with the quality of teaching in your classes?,How satisfied are you with the academic support services offered by the university?,How satisfied are you with the university culture and community?,"Would you recommend ESIH for a bachelor degree, to someone else?",If your answer is YES - Why would you recommend this university?,If your answer is NO - Why would you not recommend this university?
3/20/2023 12:05:00,L1,18 - 21,Female,No,Ouest,Pétion-Ville,Pétion-Ville,Occasionally,2,Often,7,Never,,Never,,Never,,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Neutral,2,Newbie,No,"HTML/CSS, C",Neutral,Neutral,Very Dissatisfied,Very Dissatisfied,Maybe,,
3/20/2023 12:07:33,L1,18 - 21,Female,Yes,Ouest,Port-au-Prince,Kenscoff,Rarely,1,Occasionally,2,Never,,Never,,Never,,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Neutral,3,No,No,,Dissatisfied,Dissatisfied,Very Dissatisfied,Satisfied,Yes,Pour la renommée ,
3/20/2023 12:08:49,L1,18 - 21,Male,Yes,Ouest,Croix-des-Bouquets,Croix-des-Bouquets,Never,,Rarely,2,Never,,Never,,Never,,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,0,Yes,Yes,"HTML/CSS, C++, C",Satisfied,Neutral,Dissatisfied,Satisfied,No,,"Tuition fees, Lack of practice, Poor academic programs, Retaking an exam is too expensive, University space too small"
3/20/2023 12:10:03,L4,22 - 25,Female,No,Ouest,Port-au-Prince,Delmas,Never,,Occasionally,1,Never,,Never,,Occasionally,1,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Very Dissatisfied,4,Yes,No,"HTML/CSS, Python, Php, C++, Java",Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,No,,"Tuition fees, Lack of practice, Retaking an exam is too expensive, University space too small, No career center"
3/20/2023 12:10:56,L1,18 - 21,Female,No,Ouest,Carrefour,Carrefour,Rarely,1,Occasionally,1,Never,,Never,,Never,,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Neutral,0,No,No,,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Yes,Good reference in the job market.,
3/20/2023 12:11:14,L1,18 - 21,Female,No,Ouest,Cité Soleil,Tabarre,Rarely,3,Very often,1,Never,,Never,,Never,,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,0,No,No,,Satisfied,Satisfied,Satisfied,Neutral,Yes,"Lots of practices, Good quality of teaching",
3/20/2023 12:12:49,L1,18 - 21,Male,No,Ouest,Delmas,Delmas,Rarely,2,Often,1,Never,,Never,,Never,,Satisfied,Neutral,Very Dissatisfied,Satisfied,Satisfied,3,Yes,No,"HTML/CSS, C",Satisfied,Satisfied,Dissatisfied,Dissatisfied,Yes,"Good quality of teaching, Good reference in the job market.",
3/20/2023 12:14:03,L1,22 - 25,Female,No,Ouest,Port-au-Prince,Cité Soleil,Occasionally,2,Often,2,Never,,Never,,Never,,Very Dissatisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,2,No,No,,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Maybe,,"Tuition fees, Lack of practice, Poor academic programs, Retaking an exam is too expensive, Poor quality of teaching, University space too small"
3/20/2023 12:14:16,L1,18 - 21,Female,No,Ouest,Carrefour,Carrefour,Occasionally,2,Occasionally,2,Never,,Never,,Never,,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Neutral,1,No,No,,Neutral,Neutral,Very Dissatisfied,Neutral,Yes,Good reference in the job market.,
3/20/2023 12:16:10,L1,18 - 21,Female,Yes,Ouest,Tabarre,Tabarre,Occasionally,,Often,3,Never,,Never,,Never,,Dissatisfied,Neutral,Very Dissatisfied,Satisfied,Neutral,2,No,No,,Satisfied,Neutral,Neutral,Neutral,Yes,Rich academic programs,
3/20/2023 12:16:50,L1,22 - 25,Male,No,Grand-Anse,Jérémie,Tabarre,Occasionally,1,Often,2,Never,,Never,,Never,,Neutral,Very Dissatisfied,Neutral,Neutral,Very Dissatisfied,2,Yes,No,"HTML/CSS, Php",Satisfied,Satisfied,Satisfied,Neutral,Maybe,,
3/20/2023 12:17:28,L1,22 - 25,Male,No,Sud,Camp-Perrin,Port-au-Prince,Rarely,1,Occasionally,2,Never,,Never,,Never,,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,1,No,No,,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Yes,"Renommée, globalement c'est une bonne école",
3/20/2023 12:18:42,L1,18 - 21,Female,No,Nord-Est,Fort-Liberté,Delmas,Never,,Occasionally,2,Never,,Never,,Never,,Very Dissatisfied,Neutral,Neutral,Dissatisfied,Neutral,0,No,No,,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Yes,Good reference in the job market.,
3/20/2023 12:20:12,L1,18 - 21,Male,Yes,Artibonite,Dessalines,Port-au-Prince,Occasionally,1,Often,3,Never,,Never,,Never,,Satisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Satisfied,3,Yes,Yes,"HTML/CSS, Python",Very Satisfied,Satisfied,Very Satisfied,Very Dissatisfied,Yes,"Good quality of teaching, Good reference in the job market.",
3/20/2023 12:21:20,L1,18 - 21,Female,No,Ouest,Tabarre,Tabarre,Never,,Rarely,2,Never,,Never,,Never,,Very Dissatisfied,Neutral,Very Dissatisfied,Neutral,Dissatisfied,3,No,No,,Neutral,Neutral,Neutral,Neutral,No,,"Lack of practice, Retaking an exam is too expensive"
3/20/2023 12:21:47,L1,18 - 21,Female,No,Ouest,Port-au-Prince,Delmas,Never,,Occasionally,2,Never,,Never,,Never,,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Satisfied,4,No,No,,Satisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Yes,"Rich academic programs, Good reference in the job market.",
3/20/2023 12:23:27,L4,22 - 25,Male,No,Ouest,Port-au-Prince,Pétion-Ville,Rarely,,Never,,Never,,Never,,Never,,Neutral,Very Dissatisfied,Very Dissatisfied,Satisfied,Dissatisfied,0,Yes,Yes,"HTML/CSS, JavaScript, Python, Php, C#, C++, Java, Dart, SQL",Satisfied,Neutral,Very Dissatisfied,Very Dissatisfied,No,,"Tuition fees, Lack of practice, Poor academic programs, Retaking an exam is too expensive, No career center"
3/20/2023 12:27:44,L1,18 - 21,Male,Yes,Sud,Sud,Port-au-Prince,Never,,Occasionally,1,Never,,Never,,Never,,Very Satisfied,Neutral,Neutral,Very Satisfied,Satisfied,2,Yes,Yes,"HTML/CSS, JavaScript, Python, Php, C#, C++, Java, C, Go, Ruby, SQL",Neutral,Satisfied,Neutral,Satisfied,Yes,"Lots of practices, Rich academic programs, Good quality of teaching",
3/20/2023 12:29:09,L1,18 - 21,Female,No,Ouest,Port-au-Prince,Delmas,Occasionally,2,Occasionally,2,Never,,Never,,Never,,Satisfied,Neutral,Very Dissatisfied,Neutral,Neutral,4,Yes,No,C++,Satisfied,Neutral,Satisfied,Very Dissatisfied,Yes,"Rich academic programs, Good reference in the job market.",
3/20/2023 12:29:47,DUT2,18 - 21,Female,No,Ouest,Port-au-Prince,Port-au-Prince,Rarely,2,Often,4,Never,,Never,,Rarely,1,Satisfied,Very Dissatisfied,Dissatisfied,Very Satisfied,Satisfied,0,Yes,No,"HTML/CSS, Php, Java, SQL",Very Satisfied,Satisfied,Satisfied,Satisfied,Yes,"Lots of practices, Good reference in the job market.",
3/20/2023 12:30:57,DUT1,18 - 21,Male,No,Sud-Est,La Vallée,Port-au-Prince,Occasionally,1,Often,4,Never,,Never,,Often,3,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,4,Yes,No,"HTML/CSS, Php, Java",Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Yes,Good reference in the job market.,
3/20/2023 12:34:15,DUT2,22 - 25,Male,No,Sud-Est,Jacmel,Port-au-Prince,Never,,Very often,5,Never,,Never,,Occasionally,2,Neutral,Dissatisfied,Satisfied,Satisfied,Satisfied,0,Yes,No,"HTML/CSS, JavaScript, Php, Java, SQL",Satisfied,Satisfied,Neutral,Satisfied,Yes,"Lots of practices, Rich academic programs, Good quality of teaching",
3/20/2023 12:34:18,L4,22 - 25,Female,Yes,Ouest,Port-au-Prince,Port-au-Prince,Rarely,,Occasionally,,Never,,Never,,Never,,Satisfied,Dissatisfied,Very Dissatisfied,Satisfied,Neutral,1,Yes,Yes,"HTML/CSS, Python, SQL",Neutral,Satisfied,Neutral,Neutral,Maybe,,
3/20/2023 12:36:46,DUT1,18 - 21,Male,Yes,Ouest,Les Cayes,Pétion-Ville,Occasionally,2,Often,3,Never,,Never,,Often,4,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Very Dissatisfied,4,Yes,No,HTML/CSS,Dissatisfied,Very Dissatisfied,Neutral,Very Dissatisfied,Maybe,,Poor academic programs
3/20/2023 12:40:37,DUT2,22 - 25,Male,Yes,Sud-Est,La Vallée,Port-au-Prince,Often,3,Often,6,Never,,Rarely,,Never,,Satisfied,Very Dissatisfied,Satisfied,Satisfied,Satisfied,3,Newbie,Yes,"HTML/CSS, Php, Java, SQL",Satisfied,Satisfied,Satisfied,Satisfied,Yes,"Lots of practices, Good quality of teaching, Good reference in the job market.",
3/20/2023 12:41:26,L3,22 - 25,Male,No,Ouest,Pétion-Ville,Pétion-Ville,Often,3,Often,3,Never,,Never,,Never,,Dissatisfied,Neutral,Very Dissatisfied,Neutral,Dissatisfied,0,Yes,Yes,"C++, Java",Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,No,,"Tuition fees, Lack of practice, Poor academic programs, Retaking an exam is too expensive, Poor quality of teaching, University space too small"
3/20/2023 12:42:05,L3,22 - 25,Male,Yes,Ouest,Port-au-Prince,Pétion-Ville,Never,,Never,3,Never,,Never,,Occasionally,,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Very Dissatisfied,6,Yes,Yes,"HTML/CSS, JavaScript, Python, Php, C++, Java, SQL",Neutral,Neutral,Neutral,Dissatisfied,Yes,"Good quality of teaching, Good reference in the job market.",
3/20/2023 12:42:08,DUT1,22 - 25,Male,No,Ouest,Croix-des-Bouquets,Pétion-Ville,Occasionally,2,Often,6,Rarely,1,Never,1,Often,4,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Very Dissatisfied,5,Newbie,No,"HTML/CSS, Php, Java",Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Maybe,,
3/20/2023 12:42:12,L4,22 - 25,Male,No,Sud-Est,Jacmel,Port-au-Prince,Rarely,1,Often,2,Rarely,,Never,,Occasionally,,Neutral,Neutral,Dissatisfied,Satisfied,Neutral,3,Yes,No,"HTML/CSS, Python, Php, C++, Java, Dart, SQL",Satisfied,Satisfied,Neutral,Dissatisfied,Yes,Good reference in the job market.,
3/20/2023 12:44:28,L4,22 - 25,Male,Yes,Sud-Est,La Vallée,Port-au-Prince,Rarely,,Occasionally,2,Never,,Never,,Rarely,,Neutral,Very Dissatisfied,Neutral,Satisfied,Neutral,0,Yes,Yes,"HTML/CSS, JavaScript, Python, Php, C++, Java, Dart, SQL",Satisfied,Neutral,Neutral,Neutral,Yes,Good reference in the job market.,
3/20/2023 12:50:07,DUT2,18 - 21,Male,Yes,Ouest,Port-au-Prince,Carrefour,Occasionally,9,Very often,10,Occasionally,4,Rarely,,Often,2,Satisfied,Neutral,Dissatisfied,Satisfied,Very Dissatisfied,10,Yes,Yes,"HTML/CSS, JavaScript, Python, Php, Java, SQL",Dissatisfied,Neutral,Very Dissatisfied,Very Dissatisfied,No,,Business 
3/20/2023 12:50:51,L1,22 - 25,Male,Yes,Ouest,Port-au-Prince,Port-au-Prince,Occasionally,1,Often,4,Never,,Never,,Never,,Neutral,Very Dissatisfied,Very Dissatisfied,Neutral,Satisfied,3,Yes,No,HTML/CSS,Neutral,Neutral,Very Dissatisfied,Neutral,Yes,"Rich academic programs, Good reference in the job market.",
3/20/2023 12:51:23,L3,22 - 25,Male,No,Sud,Cavaillon,Pétion-Ville,Occasionally,1,Occasionally,2,Never,,Never,,Rarely,1,Neutral,Neutral,Dissatisfied,Neutral,Neutral,2,Yes,Yes,"HTML/CSS, JavaScript, Php, Java",Very Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Yes,Good quality of teaching,
3/20/2023 12:52:48,L2,22 - 25,Female,No,Nord-Ouest,Jean-Rabel,Delmas,Occasionally,1,Occasionally,,Never,,Rarely,,Never,,Dissatisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Neutral,0,Yes,Yes,"HTML/CSS, C++",Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Yes,"Lots of practices, Rich academic programs, Good reference in the job market.",
3/20/2023 12:57:31,L3,22 - 25,Female,Yes,Ouest,Port-au-Prince,Delmas,Never,,Occasionally,3,Never,,Never,,Occasionally,1,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Dissatisfied,4,Yes,No,HTML/CSS,Very Dissatisfied,Neutral,Very Dissatisfied,Dissatisfied,No,,"Tuition fees, Lack of practice, Poor academic programs, Retaking an exam is too expensive, Poor quality of teaching, University space too small, No career center"
3/20/2023 12:58:33,L1,22 - 25,Male,Yes,Ouest,Port-au-Prince,Port-au-Prince,Never,,Rarely,2,Never,,Rarely,,Never,,Very Dissatisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Dissatisfied,2,No,No,,Dissatisfied,Neutral,Neutral,Neutral,No,,
3/20/2023 13:00:39,L3,18 - 21,Female,No,Sud-Est,Jacmel,Delmas,Never,,Occasionally,3,Never,,Never,,Occasionally,1,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Dissatisfied,1,No,No,,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,No,,"Tuition fees, Lack of practice, Poor academic programs, Retaking an exam is too expensive, Poor quality of teaching, University space too small, No career center"
3/20/2023 13:03:14,L3,22 - 25,Female,No,Nord-Ouest,Port-de-Paix,Delmas,Never,,Occasionally,3,Never,,Never,,Occasionally,1,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Dissatisfied,4,Yes,Yes,"HTML/CSS, Php, C++",Dissatisfied,Neutral,Very Dissatisfied,Very Dissatisfied,No,,"Tuition fees, Lack of practice, Poor academic programs, Retaking an exam is too expensive, Poor quality of teaching, University space too small, No career center"
3/20/2023 13:04:00,DUT2,22 - 25,Male,Yes,Sud,Les Cayes,Port-au-Prince,Occasionally,3,Rarely,2,Very often,5,Never,,Rarely,2,Satisfied,Neutral,Satisfied,Dissatisfied,Satisfied,0,Newbie,No,"HTML/CSS, SQL",Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,No,,"Tuition fees, Lack of practice, Poor academic programs, Retaking an exam is too expensive, Poor quality of teaching, University space too small, No career center"
3/20/2023 13:04:19,L1,18 - 21,Female,Yes,Ouest,Port-au-Prince,Port-au-Prince,Never,,Occasionally,1,Never,,Never,,Never,,Neutral,Neutral,Dissatisfied,Neutral,Neutral,1,No,No,,Satisfied,Neutral,Neutral,Satisfied,No,,"Tuition fees, Lack of practice, Retaking an exam is too expensive"
3/20/2023 13:06:20,L4,22 - 25,Male,No,Ouest,Port-au-Prince,Delmas,Never,,Occasionally,2,Never,,Never,,Occasionally,1,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,2,Yes,No,"HTML/CSS, JavaScript, Python, SQL",Dissatisfied,Neutral,Neutral,Neutral,Maybe,,
3/20/2023 13:11:02,L1,18 - 21,Male,Yes,Ouest,Port-au-Prince,Tabarre,Rarely,1,Occasionally,1,Never,,Never,,Never,,Dissatisfied,Neutral,Very Dissatisfied,Dissatisfied,Dissatisfied,1,Yes,No,HTML/CSS,Dissatisfied,Neutral,Neutral,Dissatisfied,No,,"Tuition fees, Lack of practice, Retaking an exam is too expensive, University space too small"
3/20/2023 13:15:30,L1,18 - 21,Male,Yes,Ouest,Port-au-Prince,Pétion-Ville,Occasionally,3,Occasionally,2,Never,,Never,,Never,,Satisfied,Neutral,Dissatisfied,Dissatisfied,Neutral,1,No,No,,Satisfied,Neutral,Neutral,Satisfied,Yes,"Rich academic programs, Good reference in the job market.",
3/20/2023 13:20:25,L1,18 - 21,Male,Yes,Ouest,Port-au-Prince,Delmas,Occasionally,,Occasionally,1,Never,,Never,,Never,,Neutral,Neutral,Dissatisfied,Dissatisfied,Neutral,1,No,No,,Neutral,Neutral,Neutral,Dissatisfied,No,,"Lack of practice, Poor academic programs, Retaking an exam is too expensive, University space too small"
3/20/2023 13:24:32,L1,18 - 21,Male,Yes,Ouest,Pétion-Ville,Port-au-Prince,Occasionally,2,Occasionally,1,Never,,Never,,Never,,Satisfied,Neutral,Dissatisfied,Neutral,Neutral,1,No,No,,Neutral,Neutral,Neutral,Dissatisfied,No,,"Lack of practice, Retaking an exam is too expensive"
3/20/2023 13:32:58,DUT1,22 - 25,Male,Yes,Ouest,Port-au-Prince,Delmas,Rarely,3,Often,7,Never,,Never,,Never,,Satisfied,Neutral,Dissatisfied,Very Satisfied,Satisfied,1,Yes,No,"HTML/CSS, Php",Satisfied,Satisfied,Neutral,Dissatisfied,Yes,"Lots of practices, Rich academic programs, Good quality of teaching",
3/20/2023 14:26:53,L2,18 - 21,Male,No,Ouest,Ouest,Port-au-Prince,Rarely,1,Rarely,2,Never,,Never,,Rarely,1,Satisfied,Neutral,Dissatisfied,Neutral,Neutral,0,Newbie,No,SQL,Neutral,Satisfied,Very Dissatisfied,Very Dissatisfied,Maybe,Good reference in the job market.,
3/20/2023 14:28:43,L4,22 - 25,Female,Yes,Ouest,Port-au-Prince,Delmas,Rarely,,Rarely,,Occasionally,,Occasionally,,Occasionally,,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,1,Yes,Yes,"HTML/CSS, JavaScript, Python, Php, SQL",Satisfied,Satisfied,Neutral,Satisfied,Yes,Good reference in the job market.,Lack of practice
3/20/2023 14:34:14,L1,< 18,Female,No,Ouest,Pétion-Ville,Pétion-Ville,Often,2,Occasionally,1,Never,,Never,,Rarely,1,Very Dissatisfied,Neutral,Neutral,Satisfied,Neutral,0,No,No,HTML/CSS,Neutral,Satisfied,Satisfied,Satisfied,Yes,Rich academic programs,Tuition fees
3/20/2023 15:56:17,DUT1,26 - 29,Male,No,Ouest,Port-au-Prince,Delmas,Often,2,Rarely,2,Occasionally,2,Often,3,Often,4,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,2,Newbie,Yes,"HTML/CSS, C++",Neutral,Dissatisfied,Neutral,Dissatisfied,No,,"Lack of practice, Retaking an exam is too expensive"
3/20/2023 17:48:08,L4,22 - 25,Male,Yes,Ouest,Tabarre,Tabarre,Rarely,,Often,2,Occasionally,,Never,,Occasionally,,Satisfied,Neutral,Dissatisfied,Satisfied,Satisfied,3,Yes,Yes,"HTML/CSS, JavaScript, Python, Php, Java, SQL",Dissatisfied,Satisfied,Neutral,Satisfied,Yes,"Good reference in the job market., Best university in Haiti",
3/20/2023 17:58:07,L4,26 - 29,Female,No,Ouest,Port-au-Prince,Delmas,Often,2,Often,4,Often,4,Occasionally,2,Often,3,Neutral,Neutral,Dissatisfied,Neutral,Satisfied,2,Newbie,Yes,"HTML/CSS, JavaScript, Python, Php, SQL",Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,No,,"Lack of practice, Retaking an exam is too expensive"
3/20/2023 22:18:35,L4,22 - 25,Male,No,Ouest,Port-au-Prince,Delmas,Rarely,,Rarely,1,Never,,Never,,Rarely,,Neutral,Neutral,Very Dissatisfied,Neutral,Neutral,4,Yes,Yes,"HTML/CSS, Python, Java",Neutral,Dissatisfied,Very Dissatisfied,Very Dissatisfied,No,,"Tuition fees, Lack of practice, University space too small, No career center"
3/21/2023 9:42:50,L3,22 - 25,Male,No,Sud,Cavaillon,Pétion-Ville,Rarely,2,Occasionally,2,Never,,Never,,Never,,Satisfied,Neutral,Dissatisfied,Neutral,Neutral,2,Yes,Yes,"HTML/CSS, JavaScript, Php, Java",Satisfied,Neutral,Neutral,Neutral,Yes,Good quality of teaching,
3/21/2023 9:45:48,L4,22 - 25,Female,Yes,Nippes,Fonds-des-Nègres,Port-au-Prince,Occasionally,5,Occasionally,3,Occasionally,3,Never,,Occasionally,4,Neutral,Very Dissatisfied,Dissatisfied,Dissatisfied,Neutral,0,Newbie,No,"HTML/CSS, Python, C++",Satisfied,Satisfied,Neutral,Neutral,Maybe,,
3/21/2023 9:47:25,L4,22 - 25,Male,Yes,Ouest,Pétion-Ville,Pétion-Ville,Rarely,,Often,2,Never,,Never,,Often,2,Neutral,Neutral,Very Dissatisfied,Satisfied,Dissatisfied,0,No,No,"HTML/CSS, Php",Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Yes,Good reference in the job market.,
3/21/2023 9:48:36,L1,18 - 21,Female,No,Sud,Cayes-Jacmel,Carrefour,Never,,Often,1,Never,,Never,,Rarely,1,Neutral,Neutral,Very Dissatisfied,Very Satisfied,Neutral,1,Newbie,No,,Satisfied,Very Satisfied,Neutral,Neutral,Yes,"Lots of practices, Rich academic programs, Good quality of teaching, Good reference in the job market.",
3/21/2023 9:49:58,L4,22 - 25,Male,No,Ouest,Ouest,Delmas,Never,,Occasionally,2,Never,,Never,,Never,,Neutral,Neutral,Very Dissatisfied,Neutral,Satisfied,3,No,Yes,"HTML/CSS, Php",Dissatisfied,Neutral,Neutral,Neutral,Yes,"Lots of practices, Good reference in the job market.",
3/21/2023 9:56:10,L3,22 - 25,Male,Yes,Ouest,Pétion-Ville,Pétion-Ville,Occasionally,2,Occasionally,2,Never,,Never,,Occasionally,1,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Satisfied,0,Newbie,No,"HTML/CSS, JavaScript, Php, Java, SQL",Very Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,No,,"Tuition fees, Lack of practice, Poor academic programs, Retaking an exam is too expensive, Poor quality of teaching, University space too small, No career center"
3/21/2023 10:02:46,L3,22 - 25,Female,Yes,Ouest,Pétion-Ville,Pétion-Ville,Rarely,1,Often,3,Never,,Never,,Rarely,1,Neutral,Very Dissatisfied,Neutral,Satisfied,Very Dissatisfied,1,Newbie,Yes,"HTML/CSS, Python",Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Yes,"Good quality of teaching, Good reference in the job market.",
